"word","buyer","total_amount"
"dettwiler","Elections Canada",0
"atomics","Elections Canada",0
"skyalyne","Federal Economic Development Agency for Southern Ontario",0
"vancouver shipyards","Federal Economic Development Agency for Southern Ontario",0
"cae","Federal Economic Development Agency for Southern Ontario",0
"f35","Federal Economic Development Agency for Southern Ontario",0
"bell","Federal Economic Development Agency for Southern Ontario",0
"airbus","Federal Economic Development Agency for Southern Ontario",0
"textron","Federal Economic Development Agency for Southern Ontario",0
"dynamics","Federal Economic Development Agency for Southern Ontario",0
"dettwiler","Federal Economic Development Agency for Southern Ontario",0
"atomics","Federal Economic Development Agency for Southern Ontario",0
"skyalyne","Library and Archives Canada",0
"vancouver shipyards","Library and Archives Canada",0
"cae","Library and Archives Canada",0
"f35","Library and Archives Canada",0
"bell","Library and Archives Canada",0
"airbus","Library and Archives Canada",0
"textron","Library and Archives Canada",0
"dynamics","Library and Archives Canada",0
"dettwiler","Library and Archives Canada",0
"atomics","Library and Archives Canada",0
"skyalyne","Office of the Commissioner for Federal Judicial Affairs Canada",0
"vancouver shipyards","Office of the Commissioner for Federal Judicial Affairs Canada",0
"cae","Office of the Commissioner for Federal Judicial Affairs Canada",0
"f35","Office of the Commissioner for Federal Judicial Affairs Canada",0
"airbus","Office of the Commissioner for Federal Judicial Affairs Canada",0
"textron","Office of the Commissioner for Federal Judicial Affairs Canada",0
"dynamics","Office of the Commissioner for Federal Judicial Affairs Canada",0
"dettwiler","Office of the Commissioner for Federal Judicial Affairs Canada",0
"atomics","Office of the Commissioner for Federal Judicial Affairs Canada",0
"skyalyne","Public Service Commission of Canada",0
"vancouver shipyards","Public Service Commission of Canada",0
"cae","Public Service Commission of Canada",0
"f35","Public Service Commission of Canada",0
"bell","Public Service Commission of Canada",0
"airbus","Public Service Commission of Canada",0
"textron","Public Service Commission of Canada",0
"dynamics","Public Service Commission of Canada",0
"dettwiler","Public Service Commission of Canada",0
"atomics","Public Service Commission of Canada",0
"skyalyne","International Joint Commission",0
"vancouver shipyards","International Joint Commission",0
"cae","International Joint Commission",0
"f35","International Joint Commission",0
"airbus","International Joint Commission",0
"textron","International Joint Commission",0
"dynamics","International Joint Commission",0
"dettwiler","International Joint Commission",0
"atomics","International Joint Commission",0
"skyalyne","Western Economic Diversification Canada",0
"vancouver shipyards","Western Economic Diversification Canada",0
"cae","Western Economic Diversification Canada",0
"f35","Western Economic Diversification Canada",0
"bell","Western Economic Diversification Canada",0
"airbus","Western Economic Diversification Canada",0
"textron","Western Economic Diversification Canada",0
"dynamics","Western Economic Diversification Canada",0
"dettwiler","Western Economic Diversification Canada",0
"atomics","Western Economic Diversification Canada",0
"skyalyne","Transportation Safety Board of Canada",0
"vancouver shipyards","Transportation Safety Board of Canada",0
"cae","Transportation Safety Board of Canada",0
"f35","Transportation Safety Board of Canada",0
"bell","Transportation Safety Board of Canada",0
"airbus","Transportation Safety Board of Canada",0
"textron","Transportation Safety Board of Canada",0
"dynamics","Transportation Safety Board of Canada",0
"dettwiler","Transportation Safety Board of Canada",0
"atomics","Transportation Safety Board of Canada",0
"skyalyne","Women and Gender Equality Canada",0
"vancouver shipyards","Women and Gender Equality Canada",0
"cae","Women and Gender Equality Canada",0
"f35","Women and Gender Equality Canada",0
"airbus","Women and Gender Equality Canada",0
"textron","Women and Gender Equality Canada",0
"dynamics","Women and Gender Equality Canada",0
"dettwiler","Women and Gender Equality Canada",0
"atomics","Women and Gender Equality Canada",0
"skyalyne","Canadian Centre for Occupational Health and Safety",0
"vancouver shipyards","Canadian Centre for Occupational Health and Safety",0
"cae","Canadian Centre for Occupational Health and Safety",0
"f35","Canadian Centre for Occupational Health and Safety",0
"bell","Canadian Centre for Occupational Health and Safety",0
"airbus","Canadian Centre for Occupational Health and Safety",0
"textron","Canadian Centre for Occupational Health and Safety",0
"dynamics","Canadian Centre for Occupational Health and Safety",0
"dettwiler","Canadian Centre for Occupational Health and Safety",0
"atomics","Canadian Centre for Occupational Health and Safety",0
"skyalyne","Administrative Tribunals Support Service of Canada",0
"vancouver shipyards","Administrative Tribunals Support Service of Canada",0
"cae","Administrative Tribunals Support Service of Canada",0
"f35","Administrative Tribunals Support Service of Canada",0
